,no rank,superkingdom,order,family,genus,species,phylum,class,clade,strain,isolate,subphylum
589924,cellular organisms,Archaea,Archaeoglobales,Archaeoglobaceae,Ferroglobus,Ferroglobus placidus,Euryarchaeota,Archaeoglobi,,Ferroglobus placidus DSM 10642,,
54262,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus chitonophagus,Euryarchaeota,Thermococci,,,,
391623,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barophilus,Euryarchaeota,Thermococci,,Thermococcus barophilus MP,,
55802,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barophilus,Euryarchaeota,Thermococci,,,,
272557,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Aeropyrum,Aeropyrum pernix,Crenarchaeota,Thermoprotei,TACK group,Aeropyrum pernix K1,,
485914,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,Euryarchaeota,Halobacteria,Stenosarchaea group,Halomicrobium mukohataei DSM 12286,,
57705,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Halomicrobium,Halomicrobium mukohataei,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
693661,cellular organisms,Archaea,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus veneficus,Euryarchaeota,Archaeoglobi,,Archaeoglobus veneficus SNP6,,
59277,cellular organisms,Archaea,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium subterraneum,Euryarchaeota,Methanobacteria,Methanomada group,,,
469382,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense,Euryarchaeota,Halobacteria,Stenosarchaea group,Halogeometricum borinquense DSM 11551,,
60847,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Halogeometricum,Halogeometricum borinquense,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
61858,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natronorubrum,Natronorubrum bangense,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
543526,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Haloterrigena,Haloterrigena turkmenica,Euryarchaeota,Halobacteria,Stenosarchaea group,Haloterrigena turkmenica DSM 5511,,
573063,cellular organisms,Archaea,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus infernus,Euryarchaeota,Methanococci,Methanomada group,Methanocaldococcus infernus ME,,
797303,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natrinema,Natrinema pellirubrum,Euryarchaeota,Halobacteria,Stenosarchaea group,Natrinema pellirubrum DSM 15624,,
69527,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natrinema,Natrinema pallidum,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
69656,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfurisphaera,Sulfurisphaera ohwakuensis,Crenarchaeota,Thermoprotei,TACK group,,,
444157,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum neutrophilum,Crenarchaeota,Thermoprotei,TACK group,Pyrobaculum neutrophilum V24Sta,,
71997,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus gorgonarius,Euryarchaeota,Thermococci,,,,
71998,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus pacificus,Euryarchaeota,Thermococci,,,,
72803,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus siculi,Euryarchaeota,Thermococci,,,,
579137,cellular organisms,Archaea,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus vulcanius,Euryarchaeota,Methanococci,Methanomada group,Methanocaldococcus vulcanius M7,,
74969,cellular organisms,Archaea,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,Ferroplasma acidiphilum,Euryarchaeota,Thermoplasmata,Diaforarchaea group,,,
397948,cellular organisms,Archaea,Thermoproteales,Thermoproteaceae,Caldivirga,Caldivirga maquilingensis,Crenarchaeota,Thermoprotei,TACK group,Caldivirga maquilingensis IC-167,,
1293036,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera hakonensis,Crenarchaeota,Thermoprotei,TACK group,Metallosphaera hakonensis JCM 8857 = DSM 7519,,
263820,cellular organisms,Archaea,Thermoplasmatales,Picrophilaceae,Picrophilus,Picrophilus torridus,Euryarchaeota,Thermoplasmata,Diaforarchaea group,Picrophilus torridus DSM 9790,,
