,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,branch_length
1539,6.182677165354331,1.9133858267716535,1.9133858267716535,4317771.3023622045,48.37138407312033,0.5796949537587935,635,198.955905511811,0.0279129
1540,6.105426356589147,1.9007751937984496,1.9007751937984496,4298075.260465116,48.63729272684048,0.5805029986959626,645,198.2031007751938,0.054412
1541,6.067588325652841,1.8986175115207373,1.8986175115207373,4294932.751152074,48.67048428111354,0.5806487509026849,651,197.79569892473117,0.0168424
1546,2.0,2.0,2.0,2593862.5,51.6343263225,0.6298387867995,2,123.0,0.00294395
1548,2.0,2.3333333333333335,2.3333333333333335,2639825.0,51.952116251666666,0.6344885680853333,3,129.33333333333334,1.13079e-06
1549,2.0,2.0,2.0,2598651.25,51.943455949175,0.633787649414,4,128.0,0.00640011
1550,2.0,2.0,2.0,2635102.6,51.713496986799996,0.6336602384150001,5,126.8,0.0752016
1554,2.5,1.0,1.0,5910897.0,66.67061355445,0.637732555319,2,176.0,0.0819685
1557,2.0,2.5,2.5,4206718.0,63.8573797902,0.6064523817830001,2,189.0,0.0243712
1559,2.0,2.3333333333333335,2.3333333333333335,4473180.666666667,65.6409043597,0.6110106027246668,3,183.66666666666666,0.0181035
1566,2.0,3.0,3.0,5247555.0,62.67909454055,0.6364991836464999,2,205.0,1.13079e-06
1567,2.0,3.3333333333333335,3.3333333333333335,5194597.666666667,62.35017054053333,0.6418985198106667,3,197.66666666666666,0.00148245
1568,2.0,2.75,2.75,5064692.0,62.7384192198,0.64459513518125,4,193.0,1.13079e-06
1569,2.0,2.4,2.4,5040041.4,62.92939308263999,0.6502807374914,5,192.4,1.13079e-06
1570,2.0,2.1666666666666665,2.1666666666666665,5005325.5,63.117115308749995,0.6535456841765,6,189.83333333333334,0.00148112
1573,2.0,1.0,1.0,5008701.0,65.17791618895001,0.619503385604,2,201.0,1.13079e-06
1574,2.0,1.875,1.875,5006169.375,63.6323155288,0.6450351095333751,8,192.625,0.00233103
1581,4.0,1.0,1.0,4674239.5,66.77003590485,0.5830944077585001,2,192.5,0.00606602
1582,4.0,1.0,1.0,4705878.333333333,66.76475772733333,0.5835706635583334,3,203.33333333333334,0.00455939
1584,4.0,1.0,1.0,4656839.75,66.685421925575,0.58226519697625,4,200.25,0.00305545
1585,4.0,1.0,1.0,4695697.0,66.61314657654,0.5831968938036001,5,197.2,0.0180065
1586,4.0,1.0,1.0,4675409.0,66.56093927643334,0.5836580538223334,6,197.5,0.034247
1587,3.857142857142857,1.0,1.0,4598678.714285715,66.83572327834285,0.5827768855405714,7,193.85714285714286,0.0322542
1588,2.8666666666666667,1.4666666666666666,1.4666666666666666,4816007.066666666,65.12723914525333,0.6159812716700667,15,193.2,0.0212197
1589,2.7222222222222223,1.6111111111111112,1.6111111111111112,4758869.333333333,65.2128500143278,0.6151528268458334,18,191.61111111111111,0.00653443
1590,2.7,1.55,1.55,4874072.1,65.35862636834,0.61741079969315,20,190.05,0.0184564
1591,2.619047619047619,1.5238095238095237,1.5238095238095237,4806380.761904762,65.46786934914762,0.6167282157180951,21,188.52380952380952,0.0213645
1592,2.5,1.6153846153846154,1.6153846153846154,4388827.269230769,62.82279774100384,0.6199843739290384,26,176.65384615384616,0.101257
1595,2.0,1.0,1.0,4528337.5,66.2107855376,0.5765736015215,2,174.0,0.0216516
1598,3.0,1.0,1.0,4500224.5,63.8106546805,0.5915122585570001,2,175.0,0.016432
1599,2.5,1.0,1.0,4514281.0,65.01072010905,0.58404293003925,4,174.5,0.12891
1600,2.5,1.5333333333333334,1.5333333333333334,4405554.433333334,63.11452072341,0.6151921814103999,30,176.36666666666667,0.166308
