"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","phylum_","phylum__","class","class_","order","order_","order__","family","family_","genus","species","species_"
"402880","39152","species_","Methanococcus maripaludis C5","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","39152","402880"
"426368","39152","species_","Methanococcus maripaludis C7","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","39152","426368"
"444158","39152","species_","Methanococcus maripaludis C6","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","39152","444158"
"42879","2184","species","Methanococcus aeolicus","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","42879",""
"419665","42879","species_","Methanococcus aeolicus Nankai-3","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","42879","419665"
"2283796","28890","phylum_","Diaforarchaea group","1","131567","2157","","","28890","2283796","","","","","","","","","","",""
"183967","2283796","class","Thermoplasmata","1","131567","2157","","","28890","2283796","","183967","","","","","","","","",""
"1235850","183967","order","Methanomassiliicoccales","1","131567","2157","","","28890","2283796","","183967","","1235850","","","","","","",""
"1577788","1235850","family","Methanomassiliicoccaceae","1","131567","2157","","","28890","2283796","","183967","","1235850","","","1577788","","","",""
"1080709","1577788","genus","Methanomassiliicoccus","1","131567","2157","","","28890","2283796","","183967","","1235850","","","1577788","","1080709","",""
"1406512","1080709","species","Candidatus Methanomassiliicoccus intestinalis","1","131567","2157","","","28890","2283796","","183967","","1235850","","","1577788","","1080709","1406512",""
"1295009","1406512","species_","Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1","1","131567","2157","","","28890","2283796","","183967","","1235850","","","1577788","","1080709","1406512","1295009"
"1607807","1577788","genus","Candidatus Methanoplasma","1","131567","2157","","","28890","2283796","","183967","","1235850","","","1577788","","1607807","",""
"1577791","1607807","species","Candidatus Methanoplasma termitum","1","131567","2157","","","28890","2283796","","183967","","1235850","","","1577788","","1607807","1577791",""
"2517203","1235850","family","Candidatus Methanomethylophilaceae","1","131567","2157","","","28890","2283796","","183967","","1235850","","","2517203","","","",""
"1291539","2517203","genus","Candidatus Methanomethylophilus","1","131567","2157","","","28890","2283796","","183967","","1235850","","","2517203","","1291539","",""
"1291540","1291539","species","Candidatus Methanomethylophilus alvus","1","131567","2157","","","28890","2283796","","183967","","1235850","","","2517203","","1291539","1291540",""
"1236689","1291540","species_","Candidatus Methanomethylophilus alvus Mx1201","1","131567","2157","","","28890","2283796","","183967","","1235850","","","2517203","","1291539","1291540","1236689"
"2301","183967","order","Thermoplasmatales","1","131567","2157","","","28890","2283796","","183967","","2301","","","","","","",""
"1747776","2301","family","Cuniculiplasmataceae","1","131567","2157","","","28890","2283796","","183967","","2301","","","1747776","","","",""
"1747777","1747776","genus","Cuniculiplasma","1","131567","2157","","","28890","2283796","","183967","","2301","","","1747776","","1747777","",""
"1673428","1747777","species","Cuniculiplasma divulgatum","1","131567","2157","","","28890","2283796","","183967","","2301","","","1747776","","1747777","1673428",""
"46630","2301","family","Picrophilaceae","1","131567","2157","","","28890","2283796","","183967","","2301","","","46630","","","",""
"46631","46630","genus","Picrophilus","1","131567","2157","","","28890","2283796","","183967","","2301","","","46630","","46631","",""
"82076","46631","species","Picrophilus torridus","1","131567","2157","","","28890","2283796","","183967","","2301","","","46630","","46631","82076",""
"263820","82076","species_","Picrophilus torridus DSM 9790","1","131567","2157","","","28890","2283796","","183967","","2301","","","46630","","46631","82076","263820"
"46659","2301","family","Thermoplasmataceae","1","131567","2157","","","28890","2283796","","183967","","2301","","","46659","","","",""
"2302","46659","genus","Thermoplasma","1","131567","2157","","","28890","2283796","","183967","","2301","","","46659","","2302","",""
"2303","2302","species","Thermoplasma acidophilum","1","131567","2157","","","28890","2283796","","183967","","2301","","","46659","","2302","2303",""
