"seqname","accession","tax_id","species_name","is_type"
"GCF_000018365.1_Thermococcus_onnurineus_NA1_strain_NA1","","523850","",""
"GCF_000211475.1_Pyrococcus_sp._NA2_strain_NA2","","342949","",""
"GCF_009392895.1_Natronorubrum_aibiense_strain_7-3","","348826","",""
"GCF_000517625.1_Halostagnicola_larsenii_XH-48_strain_XH-48","","797299","",""
"GCF_000017625.1_Methanoregula_boonei_6A8_strain_6A8","","456442","",""
"GCF_000025665.1_Aciduliprofundum_boonei_T469_strain_T469","","439481","",""
"GCF_000328525.1_Halovivax_ruber_XH-70_strain_XH-70","","797302","",""
"GCF_000217715.1_Halopiger_xanaduensis_SH-6_strain_SH-6","","797210","",""
"GCF_000281695.1_Natrinema_sp._J7-2_strain_J7-2","","406552","",""
"GCF_000196895.1_Halalkalicoccus_jeotgali_B3_strain_B3","","795797","",""
"GCF_004799625.1_Haloterrigena_jeotgali_strain_A29","","413811","",""
"GCF_000591055.1_Natronomonas_moolapensis_8.8.11_strain_8.8.11","","268739","",""
"GCF_000970285.1_Methanosarcina_horonobensis_HB-1___JCM_15518_strain_HB-1","","1434110","",""
"GCF_000470655.1_Halorhabdus_tiamatea_SARL4B_strain_type_strain__SARL4B","","1033806","",""
"GCF_000021965.1_Methanosphaerula_palustris_E1-9c_strain_E1-9c","","521011","",""
"GCF_000303155.1_Candidatus_Nitrososphaera_gargensis_Ga9.2","","1237085","",""
"GCF_000019605.1_Candidatus_Korarchaeum_cryptofilum_OPF8","","374847","",""
"GCF_000213215.1_Acidianus_hospitalis_W1_strain_W1","","933801","",""
"GCF_000789255.1_Geoglobus_acetivorans_strain_SBH6","","565033","",""
"GCF_000011005.1_Methanocella_paludicola_SANAE_strain_SANAE","","304371","",""
"GCF_000517445.1_Thermococcus_paralvinellae_strain_ES1","","582419","",""
"GCF_001971705.1_Haloterrigena_daqingensis","","588898","",""
"GCF_003990725.1_Halorubrum_sp._PV6_strain_PV6","","634157","",""
"GCF_000025525.1_Methanocaldococcus_sp._FS406-22_strain_FS406-22","","644281","",""
"GCF_003856835.1_Haloplanus_aerogenes_strain_JCM_16430","","660522","",""
"GCF_000327505.1_Aciduliprofundum_sp._MAR08-339_strain_MAR08-339","","673860","",""
"GCF_000258425.1_Fervidicoccus_fontis_Kam940_strain_Kam940","","1163730","",""
"GCF_004799685.1_Halobellus_limi_strain_CGMCC_1.10331","","699433","",""
"GCF_002156705.1_Natronolimnobius_aegyptiacus_strain_JW/NM-HA_15","","745377","",""
"GCF_000230955.2_Halobacterium_sp._DL1_strain_DL1","","751944","",""
"GCF_002906575.1_Salinigranum_rubrum_strain_GX10","","755307","",""
"GCF_000224475.1_halophilic_archaeon_DL31_strain_DL31","","756883","",""
"GCF_000828575.1_Methanothermobacter_sp._CaT2_strain_CaT2","","866790","",""
"GCF_000214725.1_Methanobacterium_paludis_strain_SWAN1","","868131","",""
"GCF_000191585.1_Methanobacterium_lacus_strain_AL-21","","877455","",""
"GCF_000327485.1_Methanoregula_formicica_SMSP_strain_SMSP","","593750","",""
"GCF_000725425.1_Palaeococcus_pacificus_DY20341_strain_DY20341","","1343739","",""
"GCF_000190315.1_Vulcanisaeta_moutnovskia_768-28_strain_768-28","","985053","",""
"GCF_000204925.1_Metallosphaera_cuprina_Ar-4_strain_Ar-4","","1006006","",""
"GCF_000215995.1_Pyrococcus_yayanosii_CH1_strain_CH1","","529709","",""
"GCF_000698785.1_Nitrososphaera_viennensis_EN76_strain_EN76","","926571","",""
"GCF_000221185.1_Thermococcus_sp._4557_strain_4557","","1042877","",""
"GCF_002355635.1_Halopenitus_persicus_strain_CBA1233","","1048396","",""
"GCF_000350305.1_Thermoplasmatales_archaeon_BRNA1_strain_BRNA1","","1054217","",""
"GCF_002788215.1_Halohasta_litchfieldiae_strain_tADL","","1073996","",""
"GCF_900065925.1_Candidatus_Nitrosotalea_devanaterra","","1078905","",""
"GCF_000234805.1_Pyrobaculum_ferrireducens_strain_1860","","1104324","",""
"GCF_000251105.1_Methanocella_conradii_HZ254_strain_HZ254","","1041930","",""
"GCF_000063445.1_Methanocella_arvoryzae_MRE50_strain_MRE50","","351160","",""
"GCF_000263735.1_Pyrococcus_sp._ST04_strain_ST04","","1183377","",""
"GCF_000264495.1_Thermogladius_calderae_1633_strain_1633","","1184251","",""
"GCF_000299395.1_Candidatus_Nitrosopumilus_sediminis_strain_AR2","","1229909","",""
"GCF_001412615.1_Pyrodictium_delaneyi_strain_Su06","","1273541","",""
"GCF_000300255.2_Candidatus_Methanomethylophilus_alvus_Mx1201_strain_Mx1201","","1236689","",""
"GCF_008326425.1_Sulfolobus_sp._JCM_16833_strain_IC-006","","1294262","",""
"GCF_000739065.1_Methanocaldococcus_bathoardescens_strain_JH146","","1301915","",""
"GCF_000385565.1_Archaeoglobus_sulfaticallidus_PM70-1_strain_PM70-1","","387631","",""
"GCF_000403645.1_Salinarchaeum_sp._Harcht-Bsk1_strain_Harcht-Bsk1","","1333523","",""
"GCF_000446015.1_Thermofilum_adornatus","","1365176","",""
"GCF_000499765.1_Methanobacterium_sp._MB1","","1379702","",""
"GCF_000404225.1_Candidatus_Methanomassiliicoccus_intestinalis_Issoire-Mx1_strain_Issoire-Mx1","","1295009","",""
"GCF_001488575.1_Halobacterium_hubeiense_strain_JI20-1","","1407499","",""
"GCF_000812185.1_Candidatus_Nitrosopelagicus_brevis_strain_CN25","","1410606","",""
"GCF_000969945.1_Methanosarcina_sp._Kolksee_strain_Kolksee","","1434099","",""
"GCF_000970045.1_Methanosarcina_sp._MTP4_strain_MTP4","","1434100","",""
"GCF_000970005.1_Methanosarcina_sp._WH1_strain_WH1","","1434102","",""
"GCF_004799665.1_Halapricum_salinum_strain_CBA1105","","1457250","",""
"GCF_000730285.1_Candidatus_Nitrososphaera_evergladensis_SR1","","1459636","",""
"GCF_001560915.1_methanogenic_archaeon_ISO4-H5_strain_ISO4-H5","","1495144","",""
"GCF_000769655.1_Thermococcus_eurythermalis_strain_A501","","1505907","",""
"GCF_000299365.1_Candidatus_Nitrosopumilus_koreensis_AR1_strain_AR1","","1229908","",""
"GCF_003342675.1_Haloplanus_sp._CBA1112_strain_CBA1112","","1547898","",""
"GCF_003342695.1_Haloplanus_sp._CBA1113_strain_CBA1113","","1547899","",""
"GCF_000993805.1_Thermofilum_uzonense_strain_1807-2","","1550241","",""
"GCF_003431325.1_Acidilobus_sp._7A","","1577685","",""
"GCF_000800805.1_Candidatus_Methanoplasma_termitum_strain_MpT1","","1577791","",""
"GCF_000956175.1_Nitrosopumilus_adriaticus_strain_NF5","","1580092","",""
"GCF_000875775.1_Nitrosopumilus_piranensis_strain_D3C","","1582439","",""
"GCF_000827835.1_Haloarcula_sp._CBA1115_strain_CBA1115","","1592728","",""
"GCF_000955905.1_Candidatus_Nitrosotenuis_cloacae_strain_SAT1","","1603555","",""
"GCF_001011115.1_Halanaeroarchaeum_sulfurireducens_strain_HSR2","","1604004","",""
"GCF_001305655.1_Halanaeroarchaeum_sulfurireducens_strain_M27-SA2","","1604004","",""
"GCF_001577775.1_Pyrococcus_kukulkanii_strain_NCB100","","1609559","",""
"GCF_001548675.1_Methanobrevibacter_sp._YE315_strain_YE315","","1609968","",""
"GCF_003967175.1_Sulfodiicoccus_acidiphilus_strain_HS-1","","1670455","",""
