"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","below_below_below_species","subspecies","below_subspecies","below_below_subspecies","below_below_below_subspecies"
"360109","32021","below_subspecies","Campylobacter jejuni subsp. doylei 269.97","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","197","","","","32021","360109","",""
"354242","32022","below_subspecies","Campylobacter jejuni subsp. jejuni 81-176","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","197","","","","32022","354242","",""
"407148","32022","below_subspecies","Campylobacter jejuni subsp. jejuni 81116","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","197","","","","32022","407148","",""
"567106","32022","below_subspecies","Campylobacter jejuni subsp. jejuni IA3902","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","197","","","","32022","567106","",""
"645464","32022","below_subspecies","Campylobacter jejuni subsp. jejuni M1","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","197","","","","32022","645464","",""
"192222","32022","below_subspecies","Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","197","","","","32022","192222","",""
"1201032","32022","below_subspecies","Campylobacter jejuni subsp. jejuni PT14","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","197","","","","32022","1201032","",""
"1031536","488545","below_subspecies","Campylobacter lari subsp. concheus LMG 11760","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","201","","","","488545","1031536","",""
"443906","33013","below_subspecies","Clavibacter michiganensis subsp. michiganensis NCPPB 382","1","131567","2","1783272","","201174","","","","1760","","","","85006","","","","85023","","","","","","1573","","","","","","28447","","","","33013","443906","",""
"1097677","31963","below_subspecies","Clavibacter michiganensis subsp. nebraskensis NCPPB 2581","1","131567","2","1783272","","201174","","","","1760","","","","85006","","","","85023","","","","","","1573","","","","","","28447","","","","31963","1097677","",""
"1159554","413498","below_subspecies","Cronobacter dublinensis subsp. dublinensis LMG 23823","1","131567","2","","","1224","","","","1236","","","","91347","","","","543","","","","","","413496","","","","","","413497","","","","413498","1159554","",""
"525146","115117","below_subspecies","Desulfovibrio desulfuricans subsp. desulfuricans str. ATCC 27774","1","131567","2","","","1224","","","68525","28221","","","","213115","","","","194924","","","","","","872","","","","","","876","","","","115117","525146","",""
"716541","336306","below_subspecies","Enterobacter cloacae subsp. cloacae ATCC 13047","1","131567","2","","","1224","","","","1236","","","","91347","","","","543","","","","","","547","","","354276","","","550","","","","336306","716541","",""
"1211025","336306","below_subspecies","Enterobacter cloacae subsp. cloacae ENHKU01","1","131567","2","","","1224","","","","1236","","","","91347","","","","543","","","","","","547","","","354276","","","550","","","","336306","1211025","",""
"1104326","69219","below_subspecies","Enterobacter cloacae subsp. dissolvens SDM","1","131567","2","","","1224","","","","1236","","","","91347","","","","543","","","","","","547","","","354276","","","550","","","","69219","1104326","",""
"59374","834","below_subspecies","Fibrobacter succinogenes subsp. succinogenes S85","1","131567","2","1783270","","65842","","","","204430","","","","218872","","","","204431","","","","","","832","","","","","","833","","","","834","59374","",""
"984129","264","below_subspecies","Francisella cf. novicida Fx1","1","131567","2","","","1224","","","","1236","","","","72273","","","","34064","","","","","","262","","","","","","263","","","","264","984129","",""
"676032","264","below_subspecies","Francisella cf. tularensis subsp. novicida 3523","1","131567","2","","","1224","","","","1236","","","","72273","","","","34064","","","","","","262","","","","","","263","","","","264","676032","",""
"1163389","299583","below_subspecies","Francisella noatunensis subsp. orientalis str. Toba 04","1","131567","2","","","1224","","","","1236","","","","72273","","","","34064","","","","","","262","","","","","","657445","","","","299583","1163389","",""
