,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,superkingdom___,superkingdom____,kingdom,subkingdom,phylum,phylum_,phylum__,subphylum,subphylum_,subphylum__,subphylum___,subphylum____,subphylum_____,subphylum______,subphylum_______,subphylum________,subphylum_________,subphylum__________,subphylum___________,class,class_,subclass,subclass_,order,order_,suborder,superfamily,family,family_,subfamily,tribe,genus,genus_,subgenus,species,species_,species__,varietas,varietas_
118,Eukaryota,superkingdom_,Euglenozoa,root,cellular organisms,Eukaryota,Euglenozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Viridiplantae,phylum,Chlorophyta,root,cellular organisms,Eukaryota,,,,,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Prasinococcales,family,Prasinococcaceae,root,cellular organisms,Eukaryota,,,,,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,Palmophyllophyceae,,,,Prasinococcales,,,,Prasinococcaceae,,,,,,,,,,,
128,Prasinococcaceae,genus,Prasinoderma,root,cellular organisms,Eukaryota,,,,,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,Palmophyllophyceae,,,,Prasinococcales,,,,Prasinococcaceae,,,,Prasinoderma,,,,,,,
138,Chlorophyta,order,Pyramimonadales,root,cellular organisms,Eukaryota,,,,,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,,,,,Pyramimonadales,,,,,,,,,,,,,,,
132,Pyramimonadales,genus,Pyramimonas,root,cellular organisms,Eukaryota,,,,,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,,,,,Pyramimonadales,,,,,,,,Pyramimonas,,,,,,,
137,Chlorophyta,order,Pyramimonadales,root,cellular organisms,Eukaryota,,,,,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,,,,,Pyramimonadales,,,,,,,,,,,,,,,
136,Pyramimonadales,genus,Pyramimonas,root,cellular organisms,Eukaryota,,,,,Viridiplantae,,Chlorophyta,,,,,,,,,,,,,,,,,,,Pyramimonadales,,,,,,,,Pyramimonas,,,,,,,
232,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
