,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
400,0.0,0.0,0.0,0.0,0.0,0.0,11.0,192.63636363636363,1486.5454545454545,0.129647
401,0.0,0.0,0.0,0.0,0.0,0.0,13.0,196.53846153846155,1500.3076923076924,0.0317401
402,0.0,0.0,0.0,0.0,0.0,0.0,38.0,213.07894736842104,1702.0,0.0239197
406,0.0,0.0,0.0,0.0,0.0,0.0,2.0,225.5,1452.0,0.155805
407,0.0,0.0,0.0,0.0,0.0,0.0,3.0,211.0,1406.3333333333333,0.0781007
410,0.0,0.0,0.0,0.0,0.0,0.0,2.0,247.5,2685.0,0.00848211
413,0.0,0.0,0.0,0.0,0.0,0.0,2.0,242.0,1891.5,0.025101
414,0.0,0.0,0.0,0.0,0.0,0.0,4.0,244.75,2288.25,0.0284927
415,0.0,0.0,0.0,0.0,0.0,0.0,7.0,230.28571428571428,1910.2857142857142,0.039703
416,0.0,0.0,0.0,0.0,0.0,0.0,45.0,215.75555555555556,1734.4,0.12493
417,0.0,0.0,0.0,0.0,0.0,0.0,72.0,212.26388888888889,1978.1944444444443,0.0175305
418,0.0,0.0,0.0,0.0,0.0,0.0,74.0,212.83783783783784,1981.0675675675675,0.0179466
419,0.0,0.0,0.0,0.0,0.0,0.0,96.0,212.42708333333334,1987.4166666666667,0.030808
420,0.0,0.0,0.0,0.0,0.0,0.0,107.0,212.33644859813083,1980.822429906542,0.0354103
425,0.0,0.0,0.0,0.0,0.0,0.0,2.0,278.0,4906.0,0.131233
431,0.0,0.0,0.0,0.0,0.0,0.0,2.0,254.5,2905.5,1e-06
432,0.0,0.0,0.0,0.0,0.0,0.0,3.0,255.0,2913.0,1e-06
433,0.0,0.0,0.0,0.0,0.0,0.0,4.0,260.5,2971.75,0.036999
435,0.0,0.0,0.0,0.0,0.0,0.0,5.0,258.6,2758.0,0.0283203
436,0.0,0.0,0.0,0.0,0.0,0.0,6.0,256.8333333333333,2617.1666666666665,0.0346635
439,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252.0,2987.5,0.0103709
441,0.0,0.0,0.0,0.0,0.0,0.0,3.0,248.0,2582.0,0.114636
442,0.0,0.0,0.0,0.0,0.0,0.0,9.0,253.88888888888889,2605.4444444444443,0.0327841
443,0.0,0.0,0.0,0.0,0.0,0.0,11.0,258.27272727272725,3023.7272727272725,0.0346169
446,0.0,0.0,0.0,0.0,0.0,0.0,2.0,263.0,2971.0,0.0247451
447,0.0,0.0,0.0,0.0,0.0,0.0,13.0,259.0,3015.6153846153848,0.308383
448,0.0,0.0,0.0,0.0,0.0,0.0,14.0,241.07142857142858,2803.1428571428573,0.0414631
449,0.0,0.0,0.0,0.0,0.0,0.0,15.0,234.0,2700.6666666666665,0.204843
450,0.0,0.0,0.0,0.0,0.0,0.0,122.0,215.0,2069.3278688524592,0.0382718
451,0.0,0.0,0.0,0.0,0.0,0.0,190.0,200.38947368421051,2331.4,0.117085
452,0.0,0.0,0.0,0.0,0.0,0.0,197.0,201.00507614213197,2313.1827411167515,0.0303495
453,0.0,0.0,0.0,0.0,0.0,0.0,198.0,200.83333333333334,2307.9141414141413,0.0857995
456,0.0,0.0,0.0,0.0,0.0,0.0,2.0,234.5,1680.5,0.00420447
459,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228.5,1922.0,0.011249
460,0.0,0.0,0.0,0.0,0.0,0.0,4.0,231.5,1801.25,0.138151
464,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.5,692.5,0.0951116
465,0.0,0.0,0.0,0.0,0.0,0.0,3.0,147.0,1425.6666666666667,0.0184736
467,0.0,0.0,0.0,0.0,0.0,0.0,4.0,165.0,1402.25,0.0329771
469,0.0,0.0,0.0,0.0,0.0,0.0,5.0,178.4,1420.0,0.0794685
473,0.0,0.0,0.0,0.0,0.0,0.0,2.0,232.5,2328.0,0.0315632
474,0.0,0.0,0.0,0.0,0.0,0.0,3.0,244.0,2870.3333333333335,0.0521989
477,0.0,0.0,0.0,0.0,0.0,0.0,2.0,233.0,1546.0,0.0453968
482,0.0,0.0,0.0,0.0,0.0,0.0,2.0,255.5,2689.5,0.00171257
484,0.0,0.0,0.0,0.0,0.0,0.0,3.0,252.0,2415.0,0.0118918
485,0.0,0.0,0.0,0.0,0.0,0.0,4.0,246.25,2205.0,0.00793781
