taxo_id,kingdom,supergroup,division,class,order,family,genus,species,taxo_id
2534,Eukaryota,Amoebozoa,Conosa,Mycetozoa-Dictyostelea,Dictyosteliida,Dictyosteliida-Group-IV,Dictyostelium-Group-IV,Dictyostelium_crassicaule,2534
47106,Eukaryota,Stramenopiles,Ochrophyta,Synurophyceae,Synurales,Synurales_X,Synura,Synura_uvella,47106
45105,Eukaryota,Rhizaria,Cercozoa,Endomyxa-Ascetosporea,Haplosporida,Haplosporidiidae,Minchinia,Minchinia_teredinis,45105
2138,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Thecadiniaceae,Thecadinium,Thecadinium_inclinatum,2138
45140,Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachnida,Chlorarachnida_X,Bigelowiella,Bigelowiella_natans,45140
45122,Eukaryota,Rhizaria,Cercozoa,Endomyxa-Phytomyxea,Plasmodiophorida,Plasmodiophoridae,Plasmodiophora,Plasmodiophora_brassicae,45122
9366,Eukaryota,Excavata,Discoba,Euglenozoa,Euglenida,Euglenales,Colacium,Colacium_vesiculosum,9366
7942,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Phaeoceros,Phaeoceros_laevis,7942
5352,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Rhodymeniales,Rhodymeniales_X,Gastroclonium,Gastroclonium_ovatum,5352
47865,Eukaryota,Stramenopiles,Opalozoa,Opalinata,Opalinata_X,Blastocystis-Group,Blastocystis,Blastocystis_cycluri,47865
46544,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Cylindrotheca,Cylindrotheca_closterium,46544
5301,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Plocamiales,Plocamiales_X,Plocamium,Plocamium_mertensii,5301
47309,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Sargassum,Sargassum_macrocarpum,47309
1893,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Goniodomataceae,Gambierdiscus,Gambierdiscus_caribaeus,1893
47481,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Aurantiochytrium,Aurantiochytrium_mangrovei,47481
50560,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Piroplasmorida,Piroplasmorida6,Piroplasmorida6_3,Piroplasmorida6_3_sp.,50560
46986,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade_C,Ochromonas,Ochromonas_sp.,46986
49058,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_hoffmannianum,49058
8988,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Zea,Zea_mays,8988
49287,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peritrichia_1,Trichodinidae,Trichodina_2,Trichodina_2_sp.,49287
1466,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Euplotia,Euplotidae,Euplotes,Euplotes_muscorum,1466
